hgnc_id	alias_name|alias_symbol|name|prev_name|prev_symbol|symbol
HGNC:20999	ACOT13|HT012|THEM2|acyl-CoA thioesterase 13|thioesterase superfamily member 2
HGNC:119	ACOX1|PALMCOX|acyl-CoA oxidase 1|acyl-CoA oxidase 1, palmitoyl|acyl-Coenzyme A oxidase 1, palmitoyl|palmitoyl-CoA oxidase
HGNC:120	3-alpha,7-alpha,12-alpha-trihydroxy-5-beta-cholestanoyl-CoA 24-hydroxylase|ACOX2|BRCACOX|BRCOX|THCCox|acyl-CoA oxidase 2|acyl-CoA oxidase 2, branched chain|acyl-Coenzyme A oxidase 2, branched chain|branched chain acyl-CoA oxidase|trihydroxycoprostanoyl-CoA oxidase
HGNC:121	ACOX3|acyl-CoA oxidase 3, pristanoyl|acyl-Coenzyme A oxidase 3, pristanoyl
HGNC:25621	ACOXL|FLJ11042|acyl-CoA oxidase-like|acyl-Coenzyme A oxidase-like
HGNC:122	ACP1|HAAP|LMW-PTP|acid phosphatase 1, soluble|acid phosphatase of erythrocyte|low molecular weight phosphotyrosine protein phosphatase|red cell acid phosphatase
HGNC:123	ACP2|LAP|acid phosphatase 2, lysosomal|lysosomal acid phosphatase
HGNC:124	ACP5|HPAP|TRAP|acid phosphatase 5, tartrate resistant|human purple acid phosphatase|tartrate-resistant acid phosphatase
HGNC:29609	ACP6|ACPL1|LPAP|acid phosphatase 6, lysophosphatidic|lysophosphatidic acid phosphatase
HGNC:33781	ACP7|FLJ16165|PAPL1|acid phosphatase 7, tartrate resistant (putative)|purple acid phosphatase long form 1
HGNC:125	ACP-3|ACP3|ACPP|PAP|acid phosphatase, prostate|prostatic acid phosphatase
HGNC:14376	ACPT|acid phosphatase, testicular|testicular acid phosphatase
HGNC:126	ACR|acrosin|acrosin light and heavy chain prepropeptide|preproacrosin
HGNC:17195	ACRBP|CT23|OY-TES-1|SP32|acrosin binding protein|cancer/testis antigen 23|proacrosin binding protein sp32
HGNC:15805	ACRC|acidic repeat containing
HGNC:127	ACRV1|D11S4365|SP-10|SPACA2|acrosomal vesicle protein 1|sperm protein 10
HGNC:29567	ACSBG1|BG1|BGM|FLJ30320|KIAA0631|MGC14352|acyl-CoA synthetase bubblegum family member 1|bubblegum|hBG1|hsBG|lipidosin|very long-chain acyl-CoA synthetase
HGNC:24174	ACSBG2|BGR|DKFZp434K1635|PRTD-NY3|acyl-CoA synthetase bubblegum family member 2|bubblegum related protein
HGNC:26101	ACSF2|ACSMW|FLJ20920|acyl-CoA synthetase family member 2
HGNC:27288	ACSF3|acyl-CoA synthetase family member 3|malonyl-CoA synthetase
HGNC:3569	ACS1|ACSL1|FACL1|FACL2|LACS|LACS1|LACS2|acyl-CoA synthetase long-chain family member 1|fatty-acid-Coenzyme A ligase, long-chain 2|lignoceroyl-CoA synthase|long-chain fatty-acid-coenzyme A ligase 1
HGNC:3570	ACS3|ACSL3|FACL3|PRO2194|acyl-CoA synthetase long-chain family member 3|fatty-acid-Coenzyme A ligase, long-chain 3
HGNC:3571	 long-chain fatty-acid-Coenzyme A ligase 4|ACS4|ACSL4|FACL4|LACS4|MRX63|MRX68|acyl-CoA synthetase long-chain family member 4|fatty-acid-Coenzyme A ligase, long-chain 4|lignoceroyl-CoA synthase|mental retardation, X-linked 63|mental retardation, X-linked 68
HGNC:16526	ACS2|ACS5|ACSL5|FACL5|FACL5 for fatty acid coenzyme A ligase 5|acyl-CoA synthetase long-chain family member 5|fatty-acid-Coenzyme A ligase, long-chain 5|long-chain acyl-CoA synthetase 5|long-chain fatty acid coenzyme A ligase 5
HGNC:16496	ACS2|ACSL6|FACL6|KIAA0837|LACS2|LACS5|acyl-CoA synthetase long-chain family member 6|fatty-acid-Coenzyme A ligase, long-chain 6
HGNC:18049	ACSM1|BUCS1|MACS1|acyl-CoA synthetase medium-chain family member 1|butyryl Coenzyme A synthetase 1
